title,lead,body,publication_date,sections
"Julie Derron championne du monde de triathlon","L'or pour la Zurichoise à Pontevedra","La triathlète suisse décroche le titre mondial en Espagne après une course parfaite. Julie Derron s'impose comme la nouvelle reine du triathlon mondial.",2024-09-12 18:30:00,"{Sport,Triathlon,Zürich}"
"Le MAMCO présente 'Art et intelligence artificielle'","Exposition collective sur la création à l'ère du numérique","Le Musée d'art moderne et contemporain de Genève explore les liens entre art et IA. Quinze artistes internationaux interrogent les limites de la créativité algorithmique.",2024-09-12 14:00:00,"{Culture,Arts,Genève}"
"Inondations dans le canton du Valais","Des coulées de boue menacent plusieurs villages","Des pluies torrentielles provoquent des inondations et coulées de boue dans le Haut-Valais. Les autorités ont évacué plusieurs hameaux par précaution.",2024-09-12 08:00:00,"{Actualités,Météo,Valais}"
"Giulia Steingruber tire sa révérence","La gymnaste suisse annonce sa retraite à 28 ans","Médaillée de bronze olympique, Giulia Steingruber met un terme à sa carrière après quinze ans au plus haut niveau. La Saint-Galloise reste comme l'une des meilleures gymnastes helvétiques.",2024-09-11 17:00:00,"{Sport,Gymnastique,Saint-Gall}"
"Le Festival de la BD de Sierre débute","Trois jours consacrés au 9e art en Valais","Le festival valaisan accueille une centaine d'auteurs de bande dessinée. Des dédicaces, expositions et conférences rythment ce rendez-vous des amoureux de BD.",2024-09-11 12:30:00,"{Culture,Bande dessinée,Valais}"
"Le franc suisse atteint un niveau record","La monnaie helvétique s'apprécie face à l'euro","Le franc suisse s'échange à 0,92 euro, son niveau le plus haut depuis cinq ans. Cette appréciation inquiète les exportateurs et le secteur touristique.",2024-09-11 10:00:00,"{Actualités,Économie,Finance}"
"Mujinga Kambundji en finale des championnats du monde","La Bernoise vise le podium sur 100 mètres","La sprinteuse suisse se qualifie pour la finale mondiale du 100 mètres. Mujinga Kambundji rêve d'une première médaille mondiale sur la distance reine.",2024-09-10 21:00:00,"{Sport,Athlétisme,Berne}"
"Le Château de Prangins présente 'Révolution textile'","Exposition sur l'histoire de l'industrie suisse","Le Musée national suisse retrace 200 ans d'industrie textile helvétique. L'exposition aborde les innovations technologiques et les conditions de travail des ouvrières.",2024-09-10 16:00:00,"{Culture,Histoire,Vaud}"
"Votation sur l'initiative biodiversité","Les sondages donnent un scrutin serré","À quelques semaines du vote, l'initiative pour plus de biodiversité divise la Suisse. Les agriculteurs s'y opposent tandis que les écologistes la soutiennent fermement.",2024-09-10 13:00:00,"{Actualités,Environnement,Votations}"
"Sébastien Buemi prolonge avec Nissan en Formule E","Le Vaudois reste en championnat électrique","Le pilote suisse s'engage pour deux saisons supplémentaires avec l'équipe japonaise. Buemi vise un deuxième titre mondial après celui de 2016.",2024-09-09 18:00:00,"{Sport,Formule E,Vaud}"
"Le Verbier 3-D Festival présente les dernières technologies","Trois jours dédiés à l'innovation numérique en montagne","Le festival valaisan accueille les acteurs de la tech et de l'innovation. Réalité virtuelle, intelligence artificielle et blockchain sont au programme.",2024-09-09 14:30:00,"{Culture,Technologie,Valais}"
"Grève dans les EMS genevois","Le personnel réclame de meilleures conditions de travail","Les employés des établissements médico-sociaux genevois débrayent pour protester contre la surcharge de travail et les bas salaires. Une manifestation est prévue devant le Grand Conseil.",2024-09-09 11:00:00,"{Actualités,Santé,Genève}"
"Steve Guerdat remporte le Grand Prix de Genève","Le Jurassien s'impose au CHI de Genève","Le cavalier suisse triomphe dans l'épreuve reine des concours hippiques internationaux de Genève. Sa jument Dynamix a réalisé un sans-faute spectaculaire.",2024-09-08 21:00:00,"{Sport,Équitation,Genève}"
"Le Théâtre de Carouge inaugure sa saison","Une programmation éclectique pour tous les publics","Le théâtre carougeois présente sa nouvelle saison avec une vingtaine de créations. Le directeur artistique mise sur la diversité des genres et des esthétiques.",2024-09-08 17:00:00,"{Culture,Théâtre,Genève}"
"Accident nucléaire évité de justesse à Beznau","Un incident technique provoque l'arrêt d'un réacteur","La centrale nucléaire argovienne a connu un incident classé au niveau 2 sur l'échelle INES. L'exploitant assure qu'aucun danger n'a menacé la population.",2024-09-08 09:00:00,"{Actualités,Énergie,Argovie}"
"Simon Ehammer médaillé d'argent au décathlon","Le Saint-Gallois sur le podium des championnats d'Europe","Le prodige suisse du décathlon décroche l'argent à Munich. À seulement 24 ans, Simon Ehammer s'affirme comme l'un des meilleurs athlètes complets du continent.",2024-09-07 22:00:00,"{Sport,Athlétisme,Saint-Gall}"
"Le Festival du film de Fribourg célèbre le cinéma africain","26e édition du FIFF consacrée aux cinémas d'Afrique","Le festival fribourgeois met à l'honneur la diversité des cinématographies africaines avec 150 films projetés. Des réalisateurs venus de tout le continent participent aux débats.",2024-09-07 18:30:00,"{Culture,Cinéma,Fribourg}"
"Initiative pour un congé paternité de 4 semaines acceptée","Les Suisses votent oui à 60%","Le peuple suisse approuve massivement l'extension du congé paternité. Cette avancée sociale place la Suisse dans la moyenne européenne en matière de droits parentaux.",2024-09-07 19:00:00,"{Actualités,Social,Votations}"
"Le HC Ajoie crée la sensation","Le club jurassien bat Berne 5-1","Les Ajoulots réalisent l'exploit de la soirée en dominant le champion suisse. Cette victoire confirme l'excellente forme du promu jurassien.",2024-09-06 22:30:00,"{Sport,Hockey sur glace,Jura}"
"La Collection de l'Art Brut s'agrandit","Nouveaux espaces à Lausanne pour l'art outsider","Le musée lausannois consacré à l'art brut inaugure une extension de 600 m². Les nouvelles salles accueilleront des expositions temporaires et des ateliers pédagogiques.",2024-09-06 15:00:00,"{Culture,Arts,Lausanne}"
"Canicule exceptionnelle en Suisse","Des températures record à Genève et Sion","Le thermomètre affiche 39°C à Sion et 37°C à Genève, battant les records de septembre. MétéoSuisse émet une alerte canicule pour tout le pays.",2024-09-06 14:00:00,"{Actualités,Météo,Suisse}"
"Timea Bacsinszky intronisée au Hall of Fame suisse","La Vaudoise honorée pour sa carrière","L'ancienne numéro 9 mondiale rejoint le panthéon du tennis helvétique. Timea Bacsinszky a marqué le tennis suisse par ses victoires et son engagement.",2024-09-05 19:00:00,"{Sport,Tennis,Vaud}"
"Le Festival du film asiatique de Delémont démarre","Une semaine consacrée aux cinémas d'Asie","Le festival jurassien projette 40 films venus d'Asie. De la Corée du Sud au Japon en passant par l'Inde, toutes les cinématographies sont représentées.",2024-09-05 20:00:00,"{Culture,Cinéma,Jura}"
"Crise du lait : les producteurs manifestent à Berne","1000 agriculteurs réclament des prix équitables","Les producteurs laitiers suisses manifestent devant le Palais fédéral contre la chute des prix du lait. Ils exigent des mesures de soutien du Conseil fédéral.",2024-09-05 13:00:00,"{Actualités,Agriculture,Berne}"
"Nino Schurter champion olympique pour la 2e fois","Le Grison en or aux JO de Paris","Le vététiste suisse réalise le doublé olympique à 38 ans. Nino Schurter s'impose dans une course tactique parfaitement maîtrisée.",2024-09-04 16:00:00,"{Sport,VTT,Grisons}"
"Le Musée suisse du jeu de La Tour-de-Peilz fait peau neuve","Réouverture après une rénovation complète","Le musée vaudois consacré au jeu propose un parcours modernisé. Des jeux vidéo rétro aux jeux de société traditionnels, trois étages d'exposition ludique attendent les visiteurs.",2024-09-04 14:00:00,"{Culture,Musées,Vaud}"
"Le PLR remporte les élections genevoises","Victoire de la droite au Grand Conseil","Le Parti libéral-radical arrive en tête des élections cantonales genevoises avec 28% des suffrages. La gauche perd sa majorité absolue au parlement cantonal.",2024-09-04 20:00:00,"{Actualités,Politique,Genève}"
"Léo Lacroix en bronze aux Mondiaux d'athlétisme","Le perchiste vaudois sur le podium à Eugene","Le sauteur à la perche suisse décroche la médaille de bronze avec un saut à 5m95. Léo Lacroix offre une première médaille mondiale à la Suisse.",2024-09-03 04:00:00,"{Sport,Athlétisme,Vaud}"
"Le Museo d'arte della Svizzera italiana s'agrandit","Inauguration d'une nouvelle aile à Lugano","Le MASI présente ses nouveaux espaces conçus par Mario Botta. L'extension permet au musée tessinois de doubler sa surface d'exposition.",2024-09-03 16:30:00,"{Culture,Arts,Tessin}"
"Vague de cambriolages dans le canton de Neuchâtel","La police lance un appel à la vigilance","Une série de cambriolages frappe les communes neuchâteloises depuis trois semaines. Les autorités renforcent les patrouilles et appellent la population à la prudence.",2024-09-03 18:00:00,"{Actualités,Sécurité,Neuchâtel}"
"Dominique Aegerter champion du monde Supersport","Le titre pour le pilote de Rohrbach","Le Bernois décroche son premier titre mondial en Supersport après une saison dominée de bout en bout. Aegerter a remporté 14 des 18 courses du championnat.",2024-09-02 17:00:00,"{Sport,Moto,Berne}"
"Le Musée Rath présente Cézanne","50 tableaux du maître aixois à Genève","Le musée genevois accueille une exposition temporaire consacrée à Paul Cézanne. Les toiles proviennent de collections privées et de grands musées internationaux.",2024-09-02 13:00:00,"{Culture,Arts,Genève}"
"Le Conseil fédéral valide l'achat de nouveaux avions de combat","35 F-35 pour l'armée suisse","Le gouvernement confirme l'acquisition de chasseurs américains malgré l'opposition de la gauche. Les premiers appareils seront livrés en 2027.",2024-09-02 11:00:00,"{Actualités,Défense,Armée}"
"Noémie Schmidt au Festival de Cannes","L'actrice romande présente son nouveau film","La comédienne suisse monte les marches du festival pour la projection de 'Les Ombres du passé'. Noémie Schmidt y interprète une journaliste d'investigation.",2024-09-01 21:00:00,"{Culture,Cinéma,Suisse romande}"
"Nico Elvedi prolonge avec Mönchengladbach","Le défenseur zurichois s'engage jusqu'en 2028","Le pilier de l'équipe de Suisse étend son contrat avec le club allemand. Nico Elvedi rejette ainsi les offres de plusieurs grands clubs européens.",2024-09-01 16:00:00,"{Sport,Football,Zürich}"
"Ouverture du nouveau terminal de l'aéroport de Genève","200 millions investis dans la modernisation","L'aéroport international de Genève inaugure son terminal agrandi pouvant accueillir 25 millions de passagers par an. Les infrastructures comprennent de nouveaux commerces et restaurants.",2024-09-01 10:00:00,"{Actualités,Transports,Genève}"
"Le Montreux Comedy Festival dévoile sa programmation","Florence Foresti et Gad Elmaleh en têtes d'affiche","Le festival d'humour montreusien annonce une affiche prestigieuse pour sa prochaine édition. Plus de 50 spectacles sont programmés durant deux semaines.",2024-08-31 17:00:00,"{Culture,Humour,Montreux}"
"Yann Sommer élu meilleur gardien de Bundesliga","Le portier suisse sacré pour la 3e fois","Le gardien de l'Inter Milan, prêté au Bayern Munich, reçoit le trophée du meilleur keeper du championnat allemand. Yann Sommer égale le record de Diego Benaglio.",2024-08-31 19:30:00,"{Sport,Football,Bâle}"
"Grève générale dans les transports publics romands","Perturbations majeures dans tout l'arc lémanique","Les TPG, TL et TN sont en grève pour protester contre les réformes des retraites. Les usagers sont invités à privilégier le télétravail ou le covoiturage.",2024-08-31 06:00:00,"{Actualités,Transports,Suisse romande}"
"Patrick Küng met un terme à sa carrière","Le Schwyzois raccroche les skis à 33 ans","Le descendeur suisse annonce sa retraite sportive après une carrière marquée par les blessures. Patrick Küng aura été vice-champion du monde de descente en 2015.",2024-08-30 18:00:00,"{Sport,Ski alpin,Schwyz}"
"Le Musée international de la Croix-Rouge rénové","Nouvelle muséographie à Genève","L'institution genevoise rouvre après trois ans de travaux. Le parcours repensé aborde les défis humanitaires contemporains à travers des témoignages immersifs.",2024-08-30 14:00:00,"{Culture,Humanitaire,Genève}"
"Le canton de Vaud interdit les voitures en ville le dimanche","Mesure test pour réduire la pollution à Lausanne","Les autorités vaudoises instaurent trois dimanches sans voiture dans la capitale cantonale. L'objectif est de sensibiliser la population aux enjeux de la mobilité douce.",2024-08-30 12:00:00,"{Actualités,Environnement,Lausanne}"
"Joël Camathias champion suisse de course de côte","Le Fribourgeois s'impose au classement général","Le pilote de Bulle remporte le titre national après six courses. Joël Camathias a dominé la saison sur sa Norma M20FC.",2024-08-29 20:00:00,"{Sport,Sport automobile,Fribourg}"
"Le Festival d'Avignon en terre vaudoise","Cinq spectacles du festival français au Théâtre de Vidy","Le théâtre lausannois accueille une sélection de spectacles primés au Festival d'Avignon. Cette tournée suisse permet au public romand de découvrir la création contemporaine française.",2024-08-29 16:00:00,"{Culture,Théâtre,Lausanne}"
"Votation sur la neutralité suisse","L'initiative UDC pour renforcer la neutralité rejetée","Le peuple suisse refuse à 58% l'initiative visant à inscrire une neutralité absolue dans la Constitution. Ce vote confirme la ligne du Conseil fédéral.",2024-08-29 19:00:00,"{Actualités,Politique,Votations}"
"Breel Embolo buteur décisif avec Monaco","L'attaquant suisse qualifie son équipe pour la C1","Le Bâlois inscrit le but de la qualification en barrage retour de Ligue des Champions. Monaco se hisse dans la phase de poules grâce à Embolo.",2024-08-28 23:00:00,"{Sport,Football,Bâle}"
"Le Musée gruérien présente l'art du chalet suisse","Exposition sur l'architecture traditionnelle alpestre","Le musée de Bulle explore l'évolution du chalet de montagne à travers les siècles. Maquettes, photographies et objets d'époque retracent cette tradition architecturale.",2024-08-28 15:00:00,"{Culture,Architecture,Fribourg}"
"Alerte sécheresse dans plusieurs cantons suisses","Des restrictions d'eau entrent en vigueur","Face à la sécheresse persistante, les cantons de Vaud, Neuchâtel et Fribourg imposent des restrictions sur l'utilisation de l'eau. L'arrosage des jardins et le lavage des voitures sont interdits.",2024-08-28 10:00:00,"{Actualités,Environnement,Suisse romande}"
"Fabio Quartararo remporte le GP de Suisse","Le Français s'impose au Sachsenring devant Bagnaia","Le pilote Yamaha décroche sa première victoire de la saison en MotoGP. Plus de 50'000 spectateurs ont assisté à cette course palpitante sur le circuit allemand.",2024-08-27 16:00:00,"{Sport,Moto,International}"
"Le Château de Morges expose les dahlias","Le parc du château accueille 300 variétés de fleurs","La traditionnelle fête des dahlias débute à Morges avec une explosion de couleurs dans les jardins du château. Plus de 35'000 bulbes ont été plantés pour cette 35e édition.",2024-08-27 11:00:00,"{Culture,Nature,Vaud}"
"Scandale à l'UBS : amendes record pour manipulation","La banque écope de 2 milliards de francs d'amende","Les autorités suisses et internationales sanctionnent lourdement UBS pour manipulation des taux de change. Le scandale éclabousse la place financière helvétique.",2024-08-27 09:00:00,"{Actualités,Finance,Zürich}"
"Le Tour de Romandie présente son parcours 2025","Six étapes à travers la Suisse romande","La course cycliste dévoile un tracé montagneux avec une arrivée au sommet du col de la Croix. L'épreuve reine se disputera dans les Alpes valaisannes.",2024-08-26 17:00:00,"{Sport,Cyclisme,Suisse romande}"
"Le Musée de l'Élysée célèbre la photographie suisse","Rétrospective de 100 ans d'image en Suisse","Le musée lausannois présente une exposition majeure retraçant l'histoire de la photographie helvétique. Des pionniers du début du XXe siècle aux photographes contemporains.",2024-08-26 14:00:00,"{Culture,Photographie,Lausanne}"
"Le Conseil fédéral nomme une nouvelle juge fédérale","Martha Niquille élue à la Cour suprême","La Fribourgeoise rejoint le Tribunal fédéral de Lausanne. Cette nomination renforce la représentation romande au sein de la plus haute instance judiciaire.",2024-08-26 11:00:00,"{Actualités,Justice,Lausanne}"
"Marc Hirschi remporte le Tour de Lombardie","Le Bernois s'impose sur la classique italienne","Le coureur cycliste suisse décroche sa première classique Monument en devançant Pogacar et Roglic. Marc Hirschi inscrit son nom au palmarès de la Classicissima.",2024-08-25 18:00:00,"{Sport,Cyclisme,Berne}"
"Le Festival Cinémas d'Afrique de Lausanne ouvre","Deux semaines consacrées au cinéma africain","Le festival lausannois projette 60 films venus de tout le continent africain. Des réalisateurs et acteurs africains participent aux rencontres et débats.",2024-08-25 19:00:00,"{Culture,Cinéma,Lausanne}"
"La Suisse confrontée à une pénurie de médicaments","Des centaines de traitements en rupture de stock","L'approvisionnement en médicaments essentiels pose problème dans toute la Suisse. Les pharmacies peinent à obtenir certains antibiotiques et traitements cardiaques.",2024-08-25 13:00:00,"{Actualités,Santé,Suisse}"
"Granit Xhaka champion d'Allemagne avec Leverkusen","Le Bâlois soulève son premier titre de champion","Le milieu de terrain suisse remporte la Bundesliga de manière invaincue avec le Bayer Leverkusen. Une saison historique pour Xhaka et son équipe.",2024-08-24 17:30:00,"{Sport,Football,Bâle}"
"Le Musée des beaux-arts de La Chaux-de-Fonds rénové","Réouverture du musée neuchâtelois après travaux","L'institution neuchâteloise dévoile ses espaces modernisés. Le musée présente sa collection permanente enrichie de nouvelles acquisitions d'art contemporain.",2024-08-24 15:00:00,"{Culture,Arts,Neuchâtel}"
"Crise de l'asile : les centres d'accueil saturés","La Suisse romande au bord de la rupture","Les structures d'accueil pour demandeurs d'asile sont débordées dans tous les cantons romands. Les autorités cherchent des solutions d'hébergement d'urgence.",2024-08-24 10:00:00,"{Actualités,Migration,Suisse romande}"
"Michelle Gisin remporte le slalom de Killington","La Suissesse s'impose aux États-Unis","L'Obwaldienne décroche sa troisième victoire de la saison en slalom. Michelle Gisin confirme son excellent début de saison en Coupe du monde.",2024-08-23 21:00:00,"{Sport,Ski alpin,Obwald}"
"Le Grand Conseil vaudois adopte le budget 2025","Un budget équilibré malgré les incertitudes","Le parlement cantonal vote le budget avec 120 voix pour et 55 contre. Les investissements dans l'éducation et la santé sont préservés.",2024-08-23 18:00:00,"{Actualités,Politique,Vaud}"
"Le Rosey Concert Hall inaugure sa saison musicale","Programmation prestigieuse au bord du Léman","La salle de concert de Rolle accueille les plus grands artistes classiques. L'Orchestre de chambre de Lausanne ouvrira la saison avec un programme Beethoven.",2024-08-23 16:00:00,"{Culture,Musique classique,Vaud}"
"Attentat déjoué à Genève","La police arrête trois suspects","Les forces de l'ordre annoncent avoir déjoué un projet d'attentat dans la ville de Calvin. Trois individus radicalisés ont été interpellés lors d'une opération coordonnée.",2024-08-22 22:00:00,"{Actualités,Sécurité,Genève}"
"Nino Niederreiter signe au Winnipeg Jets","L'attaquant grison change d'équipe en NHL","Le hockeyeur suisse rejoint la franchise canadienne après cinq saisons à Nashville. Niederreiter paraphe un contrat de trois ans avec les Jets.",2024-08-22 19:00:00,"{Sport,Hockey,Grisons}"
"Le Festival du rire de Montreux fait salle comble","15'000 spectateurs pour trois jours d'humour","Le festival montreusien affiche complet pour toutes les représentations. Jamel Debbouze, Kev Adams et les Chevaliers du fiel ont fait l'unanimité.",2024-08-22 12:00:00,"{Culture,Humour,Montreux}"
"Initiative pour un salaire minimum fédéral déposée","Les syndicats remettent 150'000 signatures","Le comité intersyndical dépose l'initiative pour un salaire minimum de 4'500 francs par mois. Le texte sera soumis au peuple dans les deux prochaines années.",2024-08-21 16:00:00,"{Actualités,Social,Votations}"
"Loïc Meillard en tête du slalom géant de Adelboden","Le Neuchâtelois domine la première manche","Le skieur suisse réalise le meilleur temps de la première manche devant Odermatt. La deuxième manche décidera du vainqueur de ce géant mythique.",2024-08-21 13:30:00,"{Sport,Ski alpin,Neuchâtel}"
"Le Musée Barbier-Mueller ferme définitivement","Les collections seront dispersées aux enchères","L'institution genevoise consacrée aux arts premiers annonce sa fermeture après 50 ans d'existence. Les œuvres seront vendues dans plusieurs ventes internationales.",2024-08-21 10:00:00,"{Culture,Musées,Genève}"
"Canicule record en Suisse romande","40°C à Sion, nouveau record absolu","La capitale valaisanne enregistre la température la plus élevée jamais mesurée en Suisse. Cette canicule historique met les infrastructures à rude épreuve.",2024-08-20 18:00:00,"{Actualités,Météo,Valais}"
"Kevin Fiala prolonge avec les LA Kings","Le Saint-Gallois s'engage jusqu'en 2031","L'attaquant suisse paraphe une extension de contrat record avec la franchise californienne. Fiala devient l'un des joueurs suisses les mieux payés de la NHL.",2024-08-20 22:00:00,"{Sport,Hockey,Saint-Gall}"
"Le Château de Valère accueille un festival de musique ancienne","Trois semaines de concerts à Sion","Le monument valaisan vibre au son de la musique baroque et Renaissance. Les plus grands ensembles de musique ancienne se produisent dans la basilique millénaire.",2024-08-20 15:00:00,"{Culture,Musique,Valais}"
"Accident d'avion dans les Alpes bernoises","Les secours recherchent l'épave","Un petit avion de tourisme s'est écrasé dans la région du Jungfraujoch. Les conditions météorologiques compliquent les opérations de recherche et de secours.",2024-08-19 14:00:00,"{Actualités,Faits divers,Berne}"
"Belinda Bencic de retour sur les courts","La Suissesse annonce son come-back après sa maternité","La championne olympique confirme son retour à la compétition pour le tournoi de Miami. Bencic s'est entraînée durant trois mois en Espagne.",2024-08-19 17:00:00,"{Sport,Tennis,Suisse}"
"Le Musée de la vigne de Sierre rouvre","Nouvelle scénographie dans les caves du château","Le musée valaisan propose un parcours immersif à travers l'histoire viticole du canton. Dégustation et ateliers complètent la visite.",2024-08-19 13:00:00,"{Culture,Vin,Valais}"
"Le Conseil fédéral augmente le prix du tabac","Les cigarettes coûteront 20% plus cher dès janvier","Le gouvernement relève drastiquement l'impôt sur le tabac pour des raisons de santé publique. Un paquet de cigarettes dépassera les 15 francs.",2024-08-18 11:00:00,"{Actualités,Santé,Fiscalité}"
"Didier Cuche intronisé au Panthéon du ski","Le Neuchâtelois rejoint les légendes du ski mondial","L'ancien champion du monde de descente reçoit cet honneur lors d'une cérémonie à Kitzbühel. Cuche a marqué l'histoire du ski alpin suisse.",2024-08-18 19:00:00,"{Sport,Ski alpin,Neuchâtel}"
"Le Victoria Hall de Genève rénové","La salle de concert rouvre après deux ans de travaux","L'acoustique exceptionnelle de la salle a été préservée lors de la rénovation. Un concert inaugural avec l'OSR marquera la réouverture officielle.",2024-08-18 16:00:00,"{Culture,Musique,Genève}"
"La Suisse ratifie l'accord de Paris sur le climat","Le parlement approuve le traité à une large majorité","Les Chambres fédérales valident l'accord international sur le climat. La Suisse s'engage à réduire ses émissions de 50% d'ici 2030.",2024-08-17 15:00:00,"{Actualités,Environnement,Politique}"
"Dominic Stricker remporte son premier tournoi ATP","Le Bernois s'impose à Winston-Salem","Le jeune tennisman suisse décroche son premier titre sur le circuit professionnel. Stricker bat un top 20 mondial en finale.",2024-08-17 22:00:00,"{Sport,Tennis,Berne}"
"Le Festival de cinéma italien de Locarno ouvre","78e édition sur la Piazza Grande","Le festival tessinois accueille les plus grands noms du cinéma italien et mondial. La rétrospective Fellini sera l'un des temps forts de cette édition.",2024-08-17 21:00:00,"{Culture,Cinéma,Tessin}"
"Référendum sur la loi sur l'électricité aboutit","Les opposants ont récolté 100'000 signatures","Un comité écologiste a rassemblé les paraphes nécessaires pour combattre la nouvelle loi sur l'approvisionnement électrique. Le peuple devra trancher.",2024-08-16 17:00:00,"{Actualités,Énergie,Votations}"
"Roman Josi capitaine du All-Star Game NHL","Le Bernois honoré par la ligue nord-américaine","Le défenseur suisse des Nashville Predators est nommé capitaine d'une des deux équipes du match des étoiles. Une reconnaissance exceptionnelle pour Josi.",2024-08-16 20:00:00,"{Sport,Hockey,Berne}"
"Le Musée romain de Nyon présente 'Gladiateurs'","Exposition immersive sur les combattants antiques","Le musée vaudois propose une plongée dans l'univers des gladiateurs avec reconstitutions et objets archéologiques. Une expérience VR permet de vivre un combat dans l'arène.",2024-08-16 14:00:00,"{Culture,Histoire,Nyon}"
"Le FC Zürich sacré champion de Suisse","Les Zurichois remportent leur 13e titre national","Le FC Zürich décroche le titre de champion de Suisse après une saison dominée de bout en bout. L'équipe de Franco Foda termine avec 10 points d'avance sur Young Boys.",2024-08-15 22:00:00,"{Sport,Football,Zürich}"
"Concert exceptionnel de Cecilia Bartoli à Verbier","La mezzo-soprano italienne enchante le public valaisan","Cecilia Bartoli offre une prestation magistrale au Verbier Festival devant 1500 spectateurs conquis. Son interprétation de Rossini a été saluée par une standing ovation.",2024-08-15 23:00:00,"{Culture,Opéra,Valais}"
"Le Conseil fédéral adopte un plan de relance économique","20 milliards de francs pour soutenir l'économie suisse","Face au ralentissement économique, le gouvernement suisse débloque une enveloppe massive pour soutenir les PME et les emplois. Les mesures entreront en vigueur dès janvier.",2024-08-15 13:00:00,"{Actualités,Économie,Politique}"
"Wendy Holdener remporte le slalom de Levi","La Schwyzoise s'impose en Finlande","Wendy Holdener décroche sa 8e victoire en Coupe du monde de slalom. La Suissesse devance l'Autrichienne Katharina Liensberger et la Slovaque Petra Vlhova.",2024-08-14 18:00:00,"{Sport,Ski alpin,Schwyz}"
"Le Musée d'art de Pully présente l'Art Nouveau","Exposition consacrée au mouvement artistique de 1900","Le musée vaudois explore l'Art Nouveau à travers 150 objets et œuvres d'art. Bijoux, affiches, meubles et verreries illustrent ce mouvement qui a marqué l'Europe.",2024-08-14 15:00:00,"{Culture,Arts,Vaud}"
"Votation sur la réforme de l'AVS","Les Suisses acceptent le relèvement de l'âge de la retraite","À 52%, le peuple suisse approuve le relèvement progressif de l'âge de la retraite à 66 ans. Cette réforme vise à assurer le financement des retraites jusqu'en 2050.",2024-08-13 19:00:00,"{Actualités,Prévoyance,Votations}"
"Yann Sommer héros du Bayern Munich","Le Suisse arrête deux penalties en finale","Le gardien bâlois permet au Bayern de remporter la Coupe d'Allemagne en repoussant deux tirs au but décisifs. Sommer confirme son statut de meilleur portier de Bundesliga.",2024-08-13 22:30:00,"{Sport,Football,Bâle}"
"Le Château de Tourbillon restauré","Réouverture du monument historique valaisan","Après cinq ans de travaux de restauration, le château médiéval de Tourbillon rouvre ses portes au public. Les visiteurs peuvent découvrir les salles rénovées et profiter d'une vue panoramique sur Sion.",2024-08-13 14:00:00,"{Culture,Patrimoine,Valais}"
"Tempête de grêle dévastatrice dans le canton de Vaud","Les vignobles de Lavaux sévèrement touchés","Une violente tempête de grêle a détruit une partie importante des récoltes dans les vignobles vaudois. Les dégâts sont estimés à plusieurs millions de francs.",2024-08-12 19:00:00,"{Actualités,Météo,Vaud}"
"Giulia Steingruber en bronze aux championnats d'Europe","La gymnaste suisse sur le podium au sol","La Saint-Galloise décroche la médaille de bronze à l'exercice au sol lors des championnats d'Europe de gymnastique. Une performance remarquable après sa blessure de l'an dernier.",2024-08-12 21:00:00,"{Sport,Gymnastique,Saint-Gall}"
"Le Festival du film vert de Genève débute","Cinéma et écologie au cœur de la programmation","Le festival genevois projette 50 films documentaires sur les enjeux environnementaux. Des débats avec des scientifiques et activistes complètent la programmation.",2024-08-12 18:00:00,"{Culture,Cinéma,Genève}"
"Nouvelles mesures contre la criminalité organisée","Le Conseil fédéral renforce l'arsenal juridique","Le gouvernement suisse adopte un train de mesures pour lutter contre le crime organisé. La confiscation élargie des avoirs criminels est au centre du dispositif.",2024-08-11 16:00:00,"{Actualités,Sécurité,Justice}"
"Steve Guerdat remporte le Global Champions Tour","Le cavalier jurassien s'impose à Doha","Le champion olympique suisse domine la finale du prestigieux circuit international de saut d'obstacles. Guerdat empoche un prize money de 500'000 dollars.",2024-08-11 20:00:00,"{Sport,Équitation,Jura}"
"Le Musée Suisse de la Machine à Coudre à Fribourg","Nouvelle attraction touristique dans la Vieille Ville","Un musée insolite ouvre ses portes à Fribourg avec une collection de 300 machines à coudre anciennes. L'exposition retrace l'histoire de cette invention qui a révolutionné l'industrie textile.",2024-08-11 14:00:00,"{Culture,Musées,Fribourg}"
"La Suisse renforce ses liens avec l'Union Européenne","Accord-cadre signé à Bruxelles","Après des années de négociations, la Suisse et l'UE signent un accord-cadre actualisant leurs relations bilatérales. Le texte doit encore être soumis au peuple suisse.",2024-08-10 17:00:00,"{Actualités,Politique,International}"
"Dan Ndoye buteur avec Bologne en Serie A","Le Valaisan s'illustre en Italie","L'attaquant suisse inscrit son premier but de la saison avec Bologne face à l'AC Milan. Ndoye confirme son excellente adaptation au championnat italien.",2024-08-10 22:00:00,"{Sport,Football,Valais}"
"Le Musée de la nature du Valais s'agrandit","Nouveaux espaces dédiés à la faune alpine","Le musée sierrois inaugure une extension consacrée à la biodiversité des Alpes valaisannes. Des dioramas grandeur nature présentent les animaux dans leur habitat naturel.",2024-08-10 15:00:00,"{Culture,Nature,Valais}"
"Référendum contre la réforme de la santé lancé","Les syndicats récoltent des signatures","Un comité référendaire s'oppose à la réforme du système de santé adoptée par le parlement. Les opposants dénoncent une privatisation rampante des soins.",2024-08-09 16:00:00,"{Actualités,Santé,Votations}"
